filenames,captions
Gravestone of Andrei Tarkovsky 2007.jpg,"[[File:Gravestone of Andrei Tarkovsky 2007.jpg|thumb|Andrei and Larisa Tarkovsky's grave, [[Sainte-Geneviève-des-Bois Russian Cemetery]] in France]]"
Andrei tarkovsky stamp russia 2007.jpg,"* [[File:Andrei tarkovsky stamp russia 2007.jpg|thumb|Stamp of Russia, 2007]]At the [[Cannes Film Festival]], the [[International Federation of Film Critics|FIPRESCI prize]] three times,&lt;ref&gt;{{cite web|title=Andrei Tarkovsky|url=https://fipresci.org/people/andrei-tarkovsky/|website=fipresci.org}}&lt;/ref&gt; the [[Prize of the Ecumenical Jury]] three times (more than any other director), the [[Grand Prix (Cannes Film Festival)|Grand Prix Spécial du Jury]] twice, and the [[Cannes Film Festival Award for Best Director|Best Director]] award once. He was also nominated for the [[Palme d'Or]] three times."
Alice 05a-1116x1492.jpg,"[[File:Alice 05a-1116x1492.jpg|thumb|250px|alt=Drawing of the back an anthropomorphic caterpillar, seated on a toadstool amid grass and flowers, blowing smoke from a hookah; a blonde girl in an old-fashioned frock is standing on tiptoe to peer at the caterpillar over the toadstool's edge|Sir [[John Tenniel]]'s illustration of the [[Caterpillar (Alice's Adventures in Wonderland)|Caterpillar]] for [[Lewis Carroll]]'s ''[[Alice's Adventures in Wonderland]]'' is noted for its ambiguous central figure, whose head can be viewed as being a human male's face with a pointed nose and chin, or as being the head end of an actual [[caterpillar]], with the first two right &quot;true&quot; legs visible.&lt;ref&gt;&quot;And do you see its long nose and chin? At least, they ''look'' exactly like a nose and chin, that is don't they? But they really ''are'' two of its legs. You know a Caterpillar has got ''quantities'' of legs: you can see more of them, further down.&quot; Carroll, Lewis. ''The Nursery &quot;Alice&quot;''. Dover Publications (1966), p 27.&lt;/ref&gt;]]"
Structural analysis of an ambiguous spanish sentence.svg,"Linguistic ambiguity [[Ambiguity (law)|can be a problem in law]], because the interpretation of written documents and oral agreements is often of paramount importance.[[File:Structural analysis of an ambiguous spanish sentence.svg|thumb|Structural analysis of an ambiguous Spanish sentence:&lt;br /&gt; '''Pepe vio a Pablo enfurecido.'''&lt;br /&gt;Interpretation 1: When Pepe was angry, then he saw Pablo.&lt;br /&gt;Interpretation 2: Pepe saw that Pablo was angry.&lt;br /&gt;Here, the syntactic tree in figure represents interpretation 2.]]"
Comedic Wet Cat Food sign in an ASDA supermarket.jpg,"[[File:Comedic Wet Cat Food sign in an ASDA supermarket.jpg|thumb|Which is wet: the food, or the cat?]]"
Necker cube and impossible cube.svg,"[[File:Necker cube and impossible cube.svg|The [[Necker cube]] and [[impossible cube]], an underdetermined and overdetermined object, respectively.|thumb]]"
KB ambiguous image.png,"[[File:KB ambiguous image.png|thumb|This image can be interpreted three ways: as the letters &quot;K B&quot;, as the mathematical inequality &quot;1 &lt; 13&quot;, or as the letters &quot;''V'' D&quot; with their mirror image.&lt;ref name=&quot;protein_ambig&quot; /&gt;]]"
William Bouguereau - El primer duelo.jpg,[[File:William Bouguereau - El primer duelo.jpg|thumb|right| ''[[The First Mourning]]'' (Adam and Eve mourn the death of Abel); oil on canvas 1888 painting by [[William-Adolphe Bouguereau]] ]]
NabiHabeel02.JPG,[[File:NabiHabeel02.JPG|thumb|Grave of Abel within the [[Nabi Habeel Mosque]]]]
NabiHabeel01.jpg,[[File:NabiHabeel01.jpg|thumb|The [[Mausoleum]] of Abel in the [[Nabi Habeel Mosque]]]]
Aardvark Skeleton.jpg,[[File:Aardvark Skeleton.jpg|thumb|Skeleton of an aardvark]]
Aardvark skull.JPG,[[File:Aardvark skull.JPG|thumb|Skull of an aardvark]]
Aardvark skeleton mount.JPG,"The aardvark is vaguely pig-like in appearance. Its body is stout with a prominently arched back&lt;ref name=&quot;UR1&quot;&gt;{{harvnb|Rahm|1990|p=452}}&lt;/ref&gt; and is sparsely covered with coarse hairs. The limbs are of moderate length, with the rear legs being longer than the forelegs.&lt;ref name=&quot;UR&quot; /&gt; The front feet have lost the pollex (or 'thumb'), resulting in four toes, while the rear feet have all five toes. Each toe bears a large, robust [[Nail (anatomy)|nail]] which is somewhat flattened and shovel-like, and appears to be intermediate between a [[claw]] and a hoof. Whereas the aardvark is considered [[digitigrade]], it appears at times to be [[plantigrade]]. This confusion happens because when it squats it stands on its soles.&lt;ref name=&quot;UR1&quot; /&gt; A contributing characteristic to the burrow digging capabilities of aardvarks is an endosteal tissue called compacted coarse cancellous bone (CCCB). The stress and strain resistance provided by CCCB allows aardvarks to create their burrows, ultimately leading to a favourable environment for plants and a variety of animals.&lt;ref&gt;{{cite journal |last1=Legendre |first1=Lucas J. |last2=Botha-Brink |first2=Jennifer |title=Digging the compromise: investigating the link between limb bone histology and fossoriality in the aardvark (Orycteropus afer) |journal=PeerJ |date=11 July 2018 |volume=6 |pages=e5216 |doi=10.7717/peerj.5216 |doi-access=free |pmid=30018860 |pmc=6045922 }}&lt;/ref&gt;&lt;ref&gt;{{cite journal |last1=Haussmann |first1=Natalie S. |last2=Louw |first2=Michelle A. |last3=Lewis |first3=Simone |last4=Nicol |first4=Keegan J. H. |last5=van der Merwe |first5=Stephni |last6=le Roux |first6=Peter C. |title=Ecosystem engineering through aardvark (Orycteropus afer) burrowing: Mechanisms and effects |journal=Ecological Engineering |date=1 August 2018 |volume=118 |pages=66–72 |doi=10.1016/j.ecoleng.2018.04.022 |hdl=2263/65084 |s2cid=104179393 |hdl-access=free }}&lt;/ref&gt;[[File:Aardvark skeleton mount.JPG|thumb|right|An aardvark skeleton and mounted individual]]An aardvark's weight is typically between {{convert|60|and(-)|80|kg}}.&lt;ref name=&quot;UR&quot; /&gt; An aardvark's length is usually between {{convert|105|and(-)|130|cm|ft}},&lt;ref name=&quot;EoM&quot; /&gt; and can reach lengths of {{convert|2.2|m}} when its tail (which can be up to {{convert|70|cm}}) is taken into account. It is {{convert|60|cm|in}} tall at the shoulder, and has a girth of about {{convert|100|cm|ft}}.&lt;ref name=&quot;UR1&quot; /&gt; It is the [[Largest organisms|largest]] member of the proposed clade [[Afroinsectiphilia]]. The aardvark is pale yellowish-grey in colour and often stained reddish-brown by [[soil]]. The aardvark's coat is thin, and the animal's primary protection is its tough skin. Its hair is short on its head and tail; however its legs tend to have longer hair.&lt;ref name=&quot;EoM&quot; /&gt; The hair on the majority of its body is grouped in clusters of 3-4 hairs.&lt;ref name=&quot;UR1&quot; /&gt; The hair surrounding its nostrils is dense to help filter particulate matter out as it digs. Its tail is very thick at the base and gradually tapers."
Orycteropus afer.jpg,[[File:Orycteropus afer.jpg|thumb|upright|right|Aardvark resting]]
"Erdvarkgat, Dingaanstat.jpg","[[File:Erdvarkgat, Dingaanstat.jpg|thumb|right|Entrance to a burrow]]"
SanWild17.jpg,[[File:SanWild17.jpg|thumb|right|Emerging from a burrow]]
Southern Aardvark 1.jpg,[[File:Southern Aardvark 1.jpg|left|thumb|The unusual cross-walk gait of the aardvark.]]
Aardvarks.jpg,[[File:Aardvarks.jpg|thumb|right|Aardvark mother and young]]
AFR F-111 air to air refueling.jpg,[[File:AFR F-111 air to air refueling.jpg|thumb|200px|F-111 Aardvark]]
F-14A Tomcat of VF-114 in flight 1977.jpg,[[File:F-14A Tomcat of VF-114 in flight 1977.jpg|thumb|200px|[[F-14 Tomcat]] from VF-114 Aardvarks with the squadron mascot painted on the tail]]
The life of animals (Colored Plate 4) (proteles cristatus).jpg,|1='''''Proteles cristatus''''' (aardwolf) [[File:The life of animals (Colored Plate 4) (proteles cristatus).jpg|60 px]]
Hyaena maculata - 1818-1842 - Print - Iconographia Zoologica - Special Collections University of Amsterdam -(white background).jpg,|1=''[[Spotted hyena|Crocuta crocuta]]'' (spotted hyena) [[File:Hyaena maculata - 1818-1842 - Print - Iconographia Zoologica - Special Collections University of Amsterdam -(white background).jpg|80 px]]
Hyaena striata - 1818-1842 - Print - Iconographia Zoologica - Special Collections University of Amsterdam -(white background).jpg,|1=''[[Striped hyena|Hyaena hyaena]]'' (striped hyena) [[File:Hyaena striata - 1818-1842 - Print - Iconographia Zoologica - Special Collections University of Amsterdam -(white background).jpg|70 px]]
Hyaena fusca (white background).jpg,|2=''[[Brown hyena|Parahyaena brunnea]]'' (brown hyena) [[File:Hyaena fusca (white background).jpg|65 px]]
"Aardwolf, Proteles cristata, at Lion and Rhino Reserve, Gauteng, South Africa (47987248651).jpg","[[File:Aardwolf, Proteles cristata, at Lion and Rhino Reserve, Gauteng, South Africa (47987248651).jpg|thumb|Aardwolf with tongue exposed. Note the prominent [[Lingual papillae|papillae]]]]"
Adobe wall (detail) 1.jpg,"[[File:Adobe wall (detail) 1.jpg|thumb|Adobe wall (detail) in Bahillo, [[Palencia]], Spain]]"
AdobeSurfaceCoatingRenewalOnWall.jpg,"[[File:AdobeSurfaceCoatingRenewalOnWall.jpg|thumb|Renewal of the surface [[coating]] of an adobe wall in [[Chamisal, New Mexico]]]]"
Qasroddasht.JPG,"[[File:Qasroddasht.JPG|thumb|Adobe walls separate urban gardens in [[Shiraz]], Iran]]"
San Pedro de Atacama church.jpg,"[[File:San Pedro de Atacama church.jpg|thumb|left|Church at [[San Pedro de Atacama]], Chile]]"
Santa Fe adobe.jpg,"[[File:Santa Fe adobe.jpg|thumb|Adobe style in [[Santa Fe, New Mexico]]]]"
Djenne great mud mosque.jpg,"[[File:Djenne great mud mosque.jpg|thumb|The [[Great Mosque of Djenné]], [[Mali]], is built in adobe. The struts projecting from the wall serve as decoration, as well as supports for scaffolding during maintenance.]]"
"Niger, Agadez (50), house repairs, old town.jpg","[[File:Niger, Agadez (50), house repairs, old town.jpg|thumb|Maintenance of historic architecture in [[Agadez]], [[Niger]], by adding a new layer of mud rendering]]"
Cueva de las Jarillas.jpg,[[File:Cueva de las Jarillas.jpg|thumb|left|Cliff dwellings of poured or puddled adobe (cob) at [[Cuarenta Casas]] in Mexico]]
Milyanfan-adobe-bricks-8038.jpg,"[[File:Milyanfan-adobe-bricks-8038.jpg|thumb|Adobe bricks near a construction site in [[Milyanfan]], [[Kyrgyzstan]]]]"
Fort Saint-Sébastien - Visite des fouilles juin 2012 68.jpg,"[[File:Fort Saint-Sébastien - Visite des fouilles juin 2012 68.jpg|thumb|The [[earthen plaster]] removed, exposing the adobe bricks at Fort St. Sebastien in France]]"
Indian coracle.jpg,[[File:Indian coracle.jpg|thumb|upright=1.5|People on a [[coracle]]]]
"Alice's Adventures in Wonderland - Carroll, Robinson - S001 - Cover.jpg","[[File:Alice's Adventures in Wonderland - Carroll, Robinson - S001 - Cover.jpg|thumb|right|[[Lewis Carroll]]'s ''[[Alice's Adventures in Wonderland]]'' is a well-known example of a fantasized adventure story.]]"
"Populous Asia (physical, political, population) with legend.jpg","[[File:Populous Asia (physical, political, population) with legend.jpg|thumb|Map of the most populous part of Asia showing physical, political, and population characteristics, as per 2018]]"
Possible definitions of the boundary between Europe and Asia.png,[[File:Possible definitions of the boundary between Europe and Asia.png|thumb|Definitions used for the boundary between Asia and Europe in different periods of history. The commonly accepted [[Asia#Ongoing definition|modern definition]] mostly fits with the lines &quot;'''B'''&quot; and &quot;'''F'''&quot; in this image.]]
Afro-Eurasia (orthographic projection).svg,[[File:Afro-Eurasia (orthographic projection).svg|thumb|left|[[Afro-Eurasia]] shown in green]]
Gulf5..JPG,[[File:Gulf5..JPG|thumb|Ptolemy's Asia]]
Roman Empire - Asia (125 AD).svg,[[File:Roman Empire - Asia (125 AD).svg|thumb|The province of [[Asia (Roman province)|Asia]] highlighted (in red) within the Roman Empire]]
Silkroutes.jpg,"[[File:Silkroutes.jpg|thumb|upright=1.25|The [[Silk Road]] connected civilizations across Asia.&lt;ref&gt;{{cite web |url=http://www.silk-road.com/artl/srtravelmain.shtml |title=Ancient Silk Road Travellers |author=Silkroad Foundation, Adela C.Y. Lee |website=Silk-road.com |access-date=9 November 2017 |url-status=live |archive-url=https://web.archive.org/web/20171108022054/http://www.silk-road.com/artl/srtravelmain.shtml |archive-date=8 November 2017}}&lt;/ref&gt;]]"
Mongol dominions1.jpg,[[File:Mongol dominions1.jpg|thumb|right|upright=1.25|The [[Mongol Empire]] at its greatest extent. The gray area is the later [[Timurid Empire]].]]
Himalayas.jpg,[[File:Himalayas.jpg|thumb|right|The [[Himalayas|Himalayan]] range is home to some of the planet's highest peaks.]]
Detailed map of Asian regions.png,[[File:Detailed map of Asian regions.png|thumb|300px|Detailed map of Asian regions]]
Koppen-Geiger Map Asia present.svg,[[File:Koppen-Geiger Map Asia present.svg|thumb|[[Köppen climate classification|Köppen-Geiger climate classification]] map for Asia&lt;ref&gt;{{cite journal |last1=Beck |first1=Hylke E. |last2=Zimmermann |first2=Niklaus E. |last3=McVicar |first3=Tim R. |last4=Vergopolan |first4=Noemi |last5=Berg |first5=Alexis |last6=Wood |first6=Eric F. |author-link6=Eric Franklin Wood |title=Present and future Köppen-Geiger climate classification maps at 1-km resolution |journal=Scientific Data |date=30 October 2018 |volume=5 |pages=180214 |doi=10.1038/sdata.2018.214|pmid=30375988 |pmc=6207062 |bibcode=2018NatSD...580214B }}&lt;/ref&gt;]]
1 Singapore city skyline 2010 day panorama.jpg,[[File:1 Singapore city skyline 2010 day panorama.jpg|thumb|right|upright=1.25|Singapore has one of the [[List of busiest container ports|busiest container ports in the world]] and is the world's fourth largest [[Foreign exchange market|foreign exchange]] trading center.]]
Mumbai skyline BWSL.jpg,"[[File:Mumbai skyline BWSL.jpg|alt=|thumb|Mumbai is one of the most populous cities on the continent. The city is an infrastructure and tourism hub, and plays a crucial role in the [[economy of India]].]]"
วัดพระศรีรัตนศาสดาราม-5.jpg,"[[File:วัดพระศรีรัตนศาสดาราม-5.jpg|thumb|right|alt=A Thai temple complex with several ornate buildings, and a lot of visitors|[[Wat Phra Kaew]] in the [[Grand Palace]] is among [[Bangkok]]'s major tourist attractions.]]"
WorldPopulation.png,[[File:WorldPopulation.png|thumb|right|upright=1.25|Graph showing population by continent as a percentage of [[world population]] (1750–2005)]]
Westernwall2.jpg,"[[File:Westernwall2.jpg|thumb|The [[Western Wall]] and the [[Dome of the Rock]], [[Jerusalem]]]]"
Church of the Nativity (7703592746).jpg,[[File:Church of the Nativity (7703592746).jpg|thumb|The [[Church of the Nativity]] in [[Bethlehem]]]]
Kaaba mirror edit jj.jpg,[[File:Kaaba mirror edit jj.jpg|thumb|right|Pilgrims in the annual [[Hajj]] at the [[Kaabah]] in [[Mecca]]]]
Akshardham Lotus.jpg,"[[File:Akshardham Lotus.jpg|thumb|right|The [[Swaminarayan Hinduism|Swaminarayan]] [[Akshardham (Delhi)|Akshardham Temple]] in [[Delhi]], according to the [[Guinness World Record]]s, is the ''World's Largest Comprehensive Hindu Temple''.&lt;ref&gt;{{cite news |first=Preeti |last=Jha |url=http://www.expressindia.com/latest-news/Guinness-comes-to-east-Delhi-Akshardham-worlds-largest-Hindu-temple/254631/ |title=Guinness comes to east Delhi: Akshardham world's largest Hindu temple |date=26 December 2007 |newspaper=[[The Indian Express]] |access-date=2 January 2008 |url-status=dead |archive-url=https://web.archive.org/web/20071228055300/http://www.expressindia.com/latest-news/Guinness-comes-to-east-Delhi-Akshardham-worlds-largest-Hindu-temple/254631/ |archive-date=28 December 2007 }}&lt;/ref&gt;]]"
Angkor Wat reflejado en un estanque 02.jpg,"[[File:Angkor Wat reflejado en un estanque 02.jpg|alt=|thumb|The Hindu-Buddhist temple of [[Angkor Wat]] in [[Cambodia]], the largest religious monument in the world]]"
A refugee special train at Ambala Station during partition of India.jpg,"[[File:A refugee special train at Ambala Station during partition of India.jpg|thumb|A refugee special train in Ambala, [[Punjab]] during the partition of India in 1947]]"
Napalm.jpg,[[File:Napalm.jpg|thumb|US forces drop [[Napalm]] on suspected [[Viet Cong]] positions in 1965.]]
June9protestTreefong01.jpg,"[[File:June9protestTreefong01.jpg|thumb|Demonstrations in [[Hong Kong]] against the [[2019 Hong Kong extradition bill|Extradition bill]] began in March 2019 and turned into continuing mass movements, drawing around 2 million protesters by June]]"
Tagore3.jpg,"[[File:Tagore3.jpg|thumb|upright|Indian polymath [[Rabindranath Tagore]] was awarded the [[Nobel Prize for Literature]] in 1913, and became Asia's first [[Nobel Prize|Nobel]] laureate.]]"
Arms of the Islamic Emirate of Afghanistan.svg,| style=&quot;text-align:center;&quot;| [[File:Arms of the Islamic Emirate of Afghanistan.svg|20px|link=Emblem of Afghanistan|alt=Emblem]]
National emblem of Bangladesh.svg,| style=&quot;text-align:center;&quot;| [[File:National emblem of Bangladesh.svg|20px|link=National Emblem of Bangladesh|alt=Emblem]]
Emblem of Bhutan.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Bhutan.svg|20px|link=Emblem of Bhutan|alt=Emblem]]
Emblem of Brunei.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Brunei.svg|20px|link=Emblem of Brunei|alt=Emblem]]
Royal arms of Cambodia.svg,| style=&quot;text-align:center;&quot;| [[File:Royal arms of Cambodia.svg|20px|link=Royal arms of Cambodia|alt=Arms]]
中华人民共和国国徽.png,| style=&quot;text-align:center;&quot;| [[File:中华人民共和国国徽.png|25x25px]]
Emblem of India.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of India.svg|20px|link=State Emblem of India|alt=Emblem]]
National emblem of Indonesia Garuda Pancasila.svg,| style=&quot;text-align:center;&quot;| [[File:National emblem of Indonesia Garuda Pancasila.svg|20px|link=National emblem of Indonesia|alt=Emblem]]
Emblem of Iran.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Iran.svg|20px|link=Emblem of Iran|alt=Emblem]]
Imperial Seal of Japan.svg,| style=&quot;text-align:center;&quot;| [[File:Imperial Seal of Japan.svg|20px|link=Imperial Seal of Japan|alt=Seal]]
Emblem of Kazakhstan.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Kazakhstan.svg|20px|link=Emblem of Kazakhstan|alt=Emblem]]
Emblem of Kyrgyzstan.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Kyrgyzstan.svg|20px|link=Emblem of Kyrgyzstan|alt=Emblem]]
Emblem of Laos.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Laos.svg|20px|link=Emblem of Laos|alt=Emblem]]
Coat of arms of Malaysia.svg,| style=&quot;text-align:center;&quot;| [[File:Coat of arms of Malaysia.svg|20px|link=Coat of arms of Malaysia|alt=Arms]]
Emblem of Maldives.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Maldives.svg|20px|link=Emblem of Maldives|alt=Emblem]]
State emblem of Mongolia.svg,| style=&quot;text-align:center;&quot;| [[File:State emblem of Mongolia.svg|20px|link=Emblem of Mongolia|alt=Emblem]]
State seal of Myanmar.svg,| style=&quot;text-align:center;&quot;| [[File:State seal of Myanmar.svg|20px|link=State Seal of Myanmar|alt=Seal]]
Emblem of Nepal (alternative).svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Nepal (alternative).svg|20px|link=Emblem of Nepal|alt=Emblem]]
Emblem of North Korea.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of North Korea.svg|20px|link=Emblem of North Korea|alt=Emblem]]
National emblem of Oman.svg,| style=&quot;text-align:center;&quot;| [[File:National emblem of Oman.svg|20px|link=National emblem of Oman|alt=Emblem]]
Coat of arms of Palestine.svg,| style=&quot;text-align:center;&quot;| [[File:Coat of arms of Palestine.svg|20px|link=Coat of arms of Palestine|alt=Arms]]
Emblem of Qatar.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Qatar.svg|20px|link=Coat of arms of Qatar|alt=Arms]]
Emblem of Saudi Arabia.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Saudi Arabia.svg|20px|link=Emblem of Saudi Arabia|alt=Emblem]]
Coat of arms of Singapore.svg,| style=&quot;text-align:center;&quot;| [[File:Coat of arms of Singapore.svg|20px|link=Coat of arms of Singapore|alt=Arms]]
Emblem of South Korea.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of South Korea.svg|20px|link=Emblem of South Korea|alt=Emblem]]
Emblem of Sri Lanka.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Sri Lanka.svg|20px|link=Emblem of Sri Lanka|alt=Emblem]]
Emblem of Tajikistan.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Tajikistan.svg|20px|link=Emblem of Tajikistan|alt=Emblem]]
Emblem of Thailand.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Thailand.svg|20px|link=Emblem of Thailand|alt=Emblem]]
Emblem of Turkmenistan.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Turkmenistan.svg|20px|link=Emblem of Turkmenistan|alt=Emblem]]
Emblem of the United Arab Emirates.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of the United Arab Emirates.svg|alt=Emblem|28x28px|link=Emblem of the United Arab Emirates]]
Emblem of Uzbekistan.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Uzbekistan.svg|20px|link=Emblem of Uzbekistan|alt=Emblem]]
Emblem of Vietnam.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Vietnam.svg|20px|link=Emblem of Vietnam|alt=Emblem]]
Emblem of Yemen.svg,| style=&quot;text-align:center;&quot;| [[File:Emblem of Yemen.svg|20px|link=Emblem of Yemen|alt=Emblem]]
Coat of arms of Abkhazia.svg,| style=&quot;text-align:center;&quot;| [[File:Coat of arms of Abkhazia.svg|20px|link=Emblem of Abkhazia#Republic of Abkhazia|alt=Arms]]
Coat of arms of the Turkish Republic of Northern Cyprus.svg,| style=&quot;text-align:center;&quot;| [[File:Coat of arms of the Turkish Republic of Northern Cyprus.svg|20px|link=Coat of arms of Cyprus#Northern Cyprus|alt=Arms]]
National Emblem of the Republic of China.svg,| style=&quot;text-align:center;&quot;| [[File:National Emblem of the Republic of China.svg|20px|link=Blue Sky with a White Sun|alt=Emblem]]
Aruba Dushi Tera instrumental.ogg,"| anthem                      = &quot;[[Aruba Dushi Tera]]&quot;&lt;br /&gt;({{Lang-en|&quot;Aruba, Sweet Land&quot;}})&lt;div style=&quot;display:inline-block;margin-top:0.4em;&quot;&gt;{{center|[[File:Aruba Dushi Tera instrumental.ogg]]}}&lt;/div&gt;"
United States Navy Band - Het Wilhelmus (tempo corrected).ogg,| song                        = &quot;[[Wilhelmus]]&quot;&lt;br /&gt;({{lang-en|&quot;William of Nassau&quot;}})&lt;br /&gt;&lt;div style=&quot;display:inline-block;margin-top:0.4em;&quot;&gt;[[File:United States Navy Band - Het Wilhelmus (tempo corrected).ogg|Het Wilhelmus]]&lt;/div&gt;
Aruba World Wind.jpg,| image_map2                  = [[File:Aruba World Wind.jpg|290px]]
NL-HaNA 4.JBF 206.jpg,"[[File:NL-HaNA 4.JBF 206.jpg|thumb|Sketch of hieroglyphs found of earlier presence of former inhabitants, drawn on cave roof with reddish ocre-like paint, ratio 1/20. (1827)]]"
Aruban-pot-AKw-541.jpg,[[File:Aruban-pot-AKw-541.jpg|thumb|Aruban pot. Colonial records often give a one-sided perspective on the indigenous heritage. Original inhabitants of the Caribbean had many languages and cultures. And there was considerable exchange of ideas and produce. (''before 1881'')]]
Mapa-de-las-Antillas-(1500).jpg,"In 1500, [[Juan de la Cosa]] drew the first map of the New World, which depicted the two Leeward Antilles known at the time. This was followed by the more accurate [[Cantino planisphere|Cantino map]], created anonymously in 1502, which also showed an extensive landmass and mentioned the ''Isla do gigante'' (Island of Giants) and ''Isla'' ''do brasil'' (Island of Brasil)''.'' The location of the Isla do gigante southwest of the Isla do brasil suggest that it refers to Bonaire and Curaçao since Aruba is located more to the [[Points of the compass|northwest]].[[File:Mapa-de-las-Antillas-(1500).jpg|thumb|Map of the Antilles, from a portion of the [[map of Juan de la Cosa]] (''1500'')]]"
Arikok National Park - Aruba.jpg,[[File:Arikok National Park - Aruba.jpg|thumb|Goats in Arikok National Park]]
BNA-DIG-HARTOG-CAHA-001-014-014.jpg,"[[File:BNA-DIG-HARTOG-CAHA-001-014-014.jpg|thumb|Machinery for the 'cooking' of aloe, property of [[Adriaan Lacle|Adriaan Laclé]] (1903)]]"
Betico Croes 1982cr.jpg,"[[File:Betico Croes 1982cr.jpg|thumb|right|175px|Betico Croes, a pivotal figure in Aruba's drive for greater autonomy in the 1970s–80s]]"
Parliament of Aruba.jpg,"[[File:Parliament of Aruba.jpg|thumb|Parliament of Aruba in [[Oranjestad, Aruba|Oranjestad]]]]"
EU OCT and OMR map en.png,"Aruba was formerly a part of the (now-dissolved) [[Netherlands Antilles]]; however, it separated from that entity in 1986, gaining its own [[Constitution of Aruba|constitution]].&lt;ref name=&quot;autogenerated2&quot; /&gt;&lt;ref name=&quot;Britannica&quot; /&gt;[[File:EU OCT and OMR map en.png|thumb|Map of the European Union in the world with [[Special member state territories and the European Union|overseas countries and territories and outermost regions]]]]Aruba is designated as a member of the Overseas Countries and Territories (OCT) and is thus officially not a part of the [[European Union]], though Aruba can and does receive support from the European Development Fund.&lt;ref name=euprofile&gt;{{cite web |url=http://www.eeas.europa.eu/aruba/index_en.htm |title=EU Relations with Aruba |access-date=6 June 2011 |publisher=European Union | archive-url= https://web.archive.org/web/20110609050531/http://eeas.europa.eu/aruba/index_en.htm| archive-date= 9 June 2011 | url-status=live}}&lt;/ref&gt;&lt;ref&gt;{{cite web |url=http://europa.eu/legislation_summaries/development/overseas_countries_territories/index_en.htm |title=Overseas Countries and Territories (OCT) |access-date=6 June 2011 |publisher=European Union |archive-url=https://web.archive.org/web/20110813192112/http://europa.eu/legislation_summaries/development/overseas_countries_territories/index_en.htm |archive-date=13 August 2011 |url-status=live }}&lt;/ref&gt;"
Aruba Product Exports (2019).svg,"{{Main|Economy of Aruba}}{{See also|Transport in Aruba}}[[File:Aruba Product Exports (2019).svg|upright=1.3|thumb|A proportional representation of Aruba exports, 2019]]"
RIU Palace Antillas - Aruba.jpg,"Aruba also has two free trade zones ([[Barcadera]] and Bushiri), where import and export and the movement of services are tax-free.&lt;ref&gt;{{cite web|url=https://www.freezonearuba.com/aruba-free-zone/barcadera-free-zone/ |title=Barcadera Free Zone|website=Free Zone Aruba|date=22 January 2014|access-date=1 May 2021}}&lt;/ref&gt;[[File:RIU Palace Antillas - Aruba.jpg|thumb|A tourist resort on the island|left]]"
"Plaza Daniel Leo, Oranjestad, Aruba - February 2020.jpg","{{See also|De Olde Molen}}[[File:Plaza Daniel Leo, Oranjestad, Aruba - February 2020.jpg|thumb|Ornate buildings in [[Oranjestad, Aruba|Oranjestad]]]]From the beginning of the colonization of the [[Netherlands]] until the beginning of the 20th century, the architecture in the most inhabited areas of Aruba was influenced by the [[Dutch Empire|Dutch]] colonial style and also some [[Spanish Empire|Spanish elements]] from the [[Catholic missions|Catholic missionaries]] present in Aruba who later settled in [[Venezuela]] as well. After the boom of the oil industry and the tourist sector in the 20th century the architectural style of the island incorporated a more [[United States|American]] and international influence. In addition, elements of the [[Art Deco]] style can still be seen in several buildings in San Nicolas. Therefore, it can be said that the island's architecture is a mixture of Spanish, Dutch, American and [[Caribbean]] influences."
